domain,kingdom,phylum,class,order,family,genus,species
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus dussumieri
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus lineatus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus nigrofuscus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus nigroris
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus olivaceus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus thompsoni
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus triostegus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Ctenochaetus,Ctenochaetus strigosus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Naso,Naso brevirostris
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Naso,Naso hexacanthus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Naso,Naso lituratus
Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Zanclidae,Zanclus,Zanclus cornutus
Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Belonidae,Ablennes,Ablennes hians
Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Exocoetidae,Cheilopogon,Cheilopogon atrisignis
Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Exocoetidae,Cheilopogon,Cheilopogon furcatus
Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Exocoetidae,Cheilopogon,Cheilopogon unicolor
Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Exocoetidae,Cypselurus,Cypselurus poecilopterus
Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Exocoetidae,Exocoetus,Exocoetus monocirrhus
Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Exocoetidae,Exocoetus,Exocoetus volitans
Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Exocoetidae,Hirundichthys,Hirundichthys speculiger
Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Exocoetidae,Parexocoetus,Parexocoetus brachypterus
Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Exocoetidae,Prognichthys,Prognichthys sealei
Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Hemiramphidae,Euleptorhamphus,Euleptorhamphus viridis
Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Caranx,Caranx melampygus
Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Decapterus,Decapterus macarellus
Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Decapterus,Decapterus macrosoma
Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Selar,Selar crumenophthalmus
Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Seriola,Seriola rivoliana
Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Coryphaenidae,Coryphaena,Coryphaena equiselis
Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Coryphaenidae,Coryphaena,Coryphaena hippurus
